Name,Description,Template,Words Used,Important Words,word1,word2
Pilot, lets companies build teams from our pool of vetted engineering and design talent our platform handles contracts invoicing payments and more we're trying to make adding talent to your team as easy as a single click ,1,pilot,,"engineering, talent, platform, contracts, team, design",
Curtsy, is an app that lets women rent dresses from each other ,1,curtsy,,"women, dresses, rent",
Draftbit, is a new way to visually build crossplatform native ios and android apps ,6,"draft,bit",,"new, way, visually, native","ios, android, apps, build, crossplatform"
Percept AI,ai support agent for your business that actually works ,2,"percept,ai",",ai","actually, agent, business","ai, agent, works"
Pachama,marketplace for carbon credits we're bringing online the $80b carbon market which is growing 50% yoy after the paris accord ,4,,,"market, online, paris, credits, carbon",
AI Insurance, builds cloudbased claims management software for the entire insurance industry 90% of the industry doesn't have decent software to handle their claims and we provide it at a subscription price they can afford ,2,"ai,insurance",",,insurance","ai, create, build, management, software","insurance, claims, industry, handle, price, affors"
Allure Systems," uses ai to create stunning apparel images for ecommerce allure works with leading fashion retailers to improve conversion rates by creating images that resonate with their clients in a scalable and cost effective way 
 ",2,"allure,systems",",,allure","allure, stunning, apparel, images, fashion, retailers","ai, ecommerce, improve, effective, clients"
Alpaca,api for free stock trading ,1,alpaca,,"api, stock, trading",
Sunsama, is daily task list for the top 10% of knowledge workers yc founders use it with their teams to manage their daily workload it's part task list part calendar built to complement your existing tooling (asana/jira/google calendar/etc) ,5.1,sun,,"daily, calendar, existing, top","knowledge, manage, workload, task, tooling"
Askdata,easy data search for employees through natural language ,6,"ask,data",,"easy, natural language, search","data, search"
Atomic Alchemy,manufacturing nuclear medicine ,2,"atomic,alchemy",,nuclear,"manufacturing, medicine"
Aura Vision,visitor analytics for physical retail stores using existing security cameras ,2,"aura,vision",,"analytics, existing, visitor","physical, security cameras"
Avo,prevents human error when implementing analytics ,1,avo,,"human, error, analytics",
Balto, lets you create and manage your own fantasy sports games like march madness brackets and nfl survivor pools ,4,,,"fantasy, sports, games,",
Basement,the social network for your close friends ,1,basement,,"network, close",
Bensen,building voice ordering experiences to replace the drivethru ,6,"ben,sen",,"building, experiences, drivethru ",
Blueberry Medical,unlimited 24/7 access to pediatricians via your smartphone for peace of mind and avoiding unnecessary er urgent care and doctor visits ,2,"blueberry,medical",,"peace, smartphone, unlimited","pediatricians, doctor, urgent, care"
Bottomless,automatic home restocking using weight sensors to figure out the best time to reorder ,1,bottomless,,"restocking, weight, sensors, time, automatic",
Boundary Layer Technologies,high speed container ships using hydrofoils  ,2,"boundary,layer",,"hydrofoils, ships",container
Calii,pinduoduo for latin america ,4,,,"latin, america",
Career Karma,helps job training programs find qualified applicants ,2,"career,karma",,"job, programs, applicants, training, qualified","helps, find"
CareerTu,online school for digital marketing data analytics and ux/ui ,6,"career,tu",,"school, marketing","data, ux, ui, digital"
Catch,redesigning benefits for the people a personal benefits platform with you at the center a way to handle taxes retirement time off health insurance and student loan refinancing â€” all in one place ,1,catch,,"all in one, platform, handle",
Centaur Labs,"labeling medical images at scale
 ",2,"centaur,labs",,,"labeling, medical, scale"
Chaser,your success playbook simple elegant and delightful workflow tools for customer success teams ,1,chaser,,"success, teams, workflow, tools, elegant, playbook",
Cherry, lets employees choose their own workplace perks ,1,cherry,,"employees, workplace, perks",
Cityfurnish,  rental subscriptions for furniture and appliance in india  ,6,"city,furnish",,"rental, subscriptions","furniture, appliance"
Convictional,software for manufacturers and brands to sell to any retailer ,1,convictional,,"software, manufacturers",
Taobotics,autonomous robots for retails  ,5.1,"tao,",robots,retails,"autonomous, robots"
Termius, is an ssh client that works on desktop and mobile the reason sysadmins and devops love  because it syncs data ,5.1,term,,"ssh, client, mobile, sysadmins, syncs, data",
Berbix,"identity verification and fraud deterrence as a service
 makes it easy for companies to collect and instantly verify photo ids ",4,,,"identity, fraud, verification, verify",
DevFlight,getting opensource developers paid  ,6,"dev,flight,",developers,developers,opensource
Dockup,on demand staging environments for engineering teams ,6,"dock,up",,"staging, engineering, environment","demand, on"
Skill lync,online engineering college for india we started by providing mechanical engineering courses and will expand to all other engineering domain by next year our current monthly revenue is $82000 and we are profitable we are growing 15% mom ,3.1,skill,,"college, engineering, mechanical, courses","domain, expand, online, all"
Tailor ED,a k12 instructional platform that helps teachers find the most effective educational content for each student ,3.1,tailor,,"instructional, platform, effective","educational, student, content"
Excepgen," produces difficult proteins at scale quickly 
 ",6,"ex,gen",,"produces, scale","proteins, produces"
Flockjay,online bootcamp to learn tech sales ,6,"flock,jay",,"online, bootcamp",
Fuzzbuzz,fuzzing as a service ,6,"fuzz,buzz,",fuzzing,fuzzing,
Geosite, is an enterprise saas platform for spatial data through pairing a marketplace with integrated data management and collaboration tools  enables customers to leverage spatial data for more rapid and accurate planning and operations ,6,"geo,site",,"spatial, data, accurate","platform, marketplace, operations"
Glide,amazing apps from spreadsheets ,1,glide,,"amazing, spreadsheets, apps",
GoLinks, allows companies to significantly increase productivity by creating memorable short links for every internal company url these internal link systems have been a standard for productivity at major companies ,6,"go,links",,"productivity, increase","links, internal, url, link"
Gordian Software, provides the only api for travel booking websites to reserve seats and bags ,2,"gordian,software",,"reserve, booking",api
Green Energy Exchange,we deliver affordable renewable energy direct to customers and are creating a business to make green energy accessible to everyone   ,2,"green,energy",",,green,,energy","renewable, direct, green, creating","business, energy, creating"
Habitat Logistics,we power delivery for restaurants ,2,"habitat,logistics",,restaurants,"power, delivery"
Handle, automates the collection process of unpaid construction invoices ,1,handle,,"aoutomates, process, construction",
Heart Aerospace,"heart makes electric airplanes with an allelectric range of 250 miles 

we have support and grants from the swedish government and lois from scandinavian airlines (sas) bra and wideroe for 86 planes worth $16b ",2,"heart,aerospace",",,heart","heart, makes, electric ","airplanes, range, miles, airlines, planes"
Inito,fertility clinic on your phone ,6,"in,to",,"fertility, clinic, phone ",
InsideSherpa,online courses for large companies to train and then hire college students ,6,"inside,sherpa",,"hire, college, courses","train, large"
InterPrime,cash management made easy ,6,"inter,prime",,easy,management
INKHUNTER,augmented reality mobile app to try and buy tattoos ,5.1,ink,,tattoos,"app, reality"
Landed, helps essential professionals build financial security near the communities they serve our flagship product is sharedequity down payment support for public school educators so they can access a traditional mortgage and buy a home ,1,landed,,"near, down, flagship, access",
Latchel,24/7 emergency maintenance department for property managers and landlords  ,6,"latch,el",,"emergency, property",
Lumos, is an ai powered search tool for doctors that gives direct answers to clinical questions using trustworthy sources ,4,,,"powered, sources, clinical, tool",
Mage,stock market for magic: the gathering ,1,mage,magic,"magic, market, stock",
Team Mobot, is an ondemand mobile app qa service that uses robots to test on actual devices ,3.1,team,"mobile,robots","app, ondemand, test","robots, mobile"
Thrive Agric, helps farmers in africa access finance best practices and large produce buyers like unilever and nestle ,3.1,thrive,,"best, large, finance, buyers","farmers, africa, produce"
Memfault, builds developer tools for firmware engineers ,6,"mem,fault",,,"tools, engineers"
Bot MD,ai assistant for doctors ,3.1,bot,,ai assistant,doctors
Mudrex,algorithmic trading with no code ,6,"mud,rex",,"algorithmic, trading, code ",
MyScoot,airbnb for home hosted social events  we help you meet new people in your city  ,6,"my,scoot",,"people, hosted, home","new, help, events"
Nabis, ships can products for brands to retailers ,6,"nab,is",,"ships, product, retailers, brands",
NALA,internetfree payments for africa ,4,,,"internetfree, payments, africa ",
Nowports, is a digital freight forwarder shipping ocean containers to and from latin america ,6,"now,ports",,"forwarder, digitial","shipping, ocean, containers, freight"
Numero,modern financial software that powers our democracy ,1,numero,,"financial, software, modern",
Okteto,the missing application development platform for kubernetes ,6,"ok,to",,"kubernetes, ",
Our World in Data,open access research and data visualization on global development ,2,"our,world",",,data","open, data","access, global"
